origin_station_complex_name,day_of_week,hour_of_day,avg(sum_estimated_average_ridership)
103 St (6),Thursday,4,29.51303333333334
103 St (6),Thursday,5,102.19015
103 St (6),Thursday,6,258.70503333333335
103 St (6),Thursday,7,630.0954499999999
103 St (6),Thursday,8,810.5968916666667
103 St (6),Thursday,9,460.3703083333334
103 St (6),Thursday,10,348.1066416666667
103 St (6),Thursday,11,338.4870416666667
103 St (6),Thursday,12,359.0344
103 St (6),Thursday,13,409.93191666666667
103 St (6),Thursday,14,575.2788166666666
103 St (6),Thursday,15,900.6438750000001
103 St (6),Thursday,16,846.5744666666666
103 St (6),Thursday,17,827.3357249999999
103 St (6),Thursday,18,481.03260000000006
103 St (6),Thursday,19,325.18621666666667
103 St (6),Thursday,20,224.97472500000003
103 St (6),Thursday,21,146.71820833333334
103 St (6),Thursday,22,96.92280833333332
103 St (6),Thursday,23,77.81645
103 St (6),Tuesday,0,19.91895
103 St (6),Tuesday,1,10.821541666666667
103 St (6),Tuesday,2,11.341033333333336
103 St (6),Tuesday,3,13.329500000000001
103 St (6),Tuesday,4,32.9459
103 St (6),Tuesday,5,106.51079166666666
103 St (6),Tuesday,6,275.610075
103 St (6),Tuesday,7,642.3926250000001
103 St (6),Tuesday,8,820.4584500000001
103 St (6),Tuesday,9,467.5896249999999
103 St (6),Tuesday,10,346.4784499999999
103 St (6),Tuesday,11,328.23993333333334
103 St (6),Tuesday,12,343.8666166666667
103 St (6),Tuesday,13,384.29952499999996
103 St (6),Tuesday,14,549.058
103 St (6),Tuesday,15,896.3394000000002
103 St (6),Tuesday,16,836.6684666666666
103 St (6),Tuesday,17,815.3086666666667
103 St (6),Tuesday,18,465.90411666666665
103 St (6),Tuesday,19,319.12735833333335
103 St (6),Tuesday,20,215.51053333333334
103 St (6),Tuesday,21,130.97155833333332
103 St (6),Tuesday,22,84.79536666666667
103 St (6),Tuesday,23,74.03308333333335
103 St (6),Wednesday,0,19.780016666666665
103 St (6),Wednesday,1,10.474924999999997
103 St (6),Wednesday,2,10.758616666666668
103 St (6),Wednesday,3,14.296108333333336
103 St (6),Wednesday,4,31.264166666666664
103 St (6),Wednesday,5,101.77805833333332
103 St (6),Wednesday,6,269.0563
103 St (6),Wednesday,7,666.2547999999999
103 St (6),Wednesday,8,842.8680583333334
103 St (6),Wednesday,9,486.3371166666666
103 St (6),Wednesday,10,343.13404999999995
103 St (6),Wednesday,11,338.23466666666667
103 St (6),Wednesday,12,363.61251666666664
103 St (6),Wednesday,13,399.7317666666667
103 St (6),Wednesday,14,581.4007583333333
103 St (6),Wednesday,15,879.6336666666667
103 St (6),Wednesday,16,832.5432583333333
103 St (6),Wednesday,17,829.2056333333334
103 St (6),Wednesday,18,474.1025666666667
103 St (6),Wednesday,19,330.81734166666666
103 St (6),Wednesday,20,210.51046666666664
103 St (6),Wednesday,21,128.70895833333336
103 St (6),Wednesday,22,92.15683333333334
103 St (6),Wednesday,23,78.85259166666667
"103 St (C,B)",Friday,0,10.988791666666666
