station,month,avg_ridership
145 St (1),12,544.8852666666668
145 St (3),1,115.11183095238093
145 St (3),2,121.1062359530938
145 St (3),3,139.5761952380953
145 St (3),4,129.56212023809525
145 St (3),5,138.28622797619045
145 St (3),6,136.3020148809524
145 St (3),7,118.20195297619048
145 St (3),8,119.63152382386687
145 St (3),9,127.91338260582015
145 St (3),10,156.580249404762
145 St (3),11,162.0665898809524
145 St (3),12,142.30315476190486
"145 St (A,C,B,D)",1,1064.4229041666667
"145 St (A,C,B,D)",2,1162.0659976190477
"145 St (A,C,B,D)",3,1188.7136303571428
"145 St (A,C,B,D)",4,1177.957648214286
"145 St (A,C,B,D)",5,1157.848547023809
"145 St (A,C,B,D)",6,1123.0528678571432
"145 St (A,C,B,D)",7,964.8531440476195
"145 St (A,C,B,D)",8,978.8276345238096
"145 St (A,C,B,D)",9,1271.7048940476193
"145 St (A,C,B,D)",10,1281.8871547619046
"145 St (A,C,B,D)",11,1139.2101077380953
"145 St (A,C,B,D)",12,1095.4862476190476
"149 St-Grand Concourse (2,4,5)",1,414.9079148809525
"149 St-Grand Concourse (2,4,5)",2,450.66622619047615
"149 St-Grand Concourse (2,4,5)",3,481.62552738095224
"149 St-Grand Concourse (2,4,5)",4,463.93317797619045
"149 St-Grand Concourse (2,4,5)",5,486.7576666666665
"149 St-Grand Concourse (2,4,5)",6,455.31787202380946
"149 St-Grand Concourse (2,4,5)",7,413.14472916666705
"149 St-Grand Concourse (2,4,5)",8,413.67794821428583
"149 St-Grand Concourse (2,4,5)",9,557.413730357143
"149 St-Grand Concourse (2,4,5)",10,570.962068452381
"149 St-Grand Concourse (2,4,5)",11,543.909325595238
"149 St-Grand Concourse (2,4,5)",12,529.6650363095237
"15 St-Prospect Park (F,G)",1,305.7995410714285
"15 St-Prospect Park (F,G)",2,294.5573732142857
"15 St-Prospect Park (F,G)",3,334.0406333333333
"15 St-Prospect Park (F,G)",4,340.9992815476191
"15 St-Prospect Park (F,G)",5,353.44018928571415
"15 St-Prospect Park (F,G)",6,343.5913863095237
"15 St-Prospect Park (F,G)",7,270.6661660714285
"15 St-Prospect Park (F,G)",8,264.5331547619048
"15 St-Prospect Park (F,G)",9,339.99528452380963
"15 St-Prospect Park (F,G)",10,339.66436488095235
"15 St-Prospect Park (F,G)",11,301.5176821428572
"15 St-Prospect Park (F,G)",12,302.24928095238096
"155 St (B,D)",1,117.44140595238098
"155 St (B,D)",2,115.20033452380957
"155 St (B,D)",3,127.26886904761905
"155 St (B,D)",4,124.87520595238095
"155 St (B,D)",5,127.45875833333336
"155 St (B,D)",6,120.92681369047614
"155 St (B,D)",7,103.10090535714286
"155 St (B,D)",8,106.58048749999999
"155 St (B,D)",9,139.94976607142854
"155 St (B,D)",10,144.03437797619046
"155 St (B,D)",11,134.4713476190476
"155 St (B,D)",12,134.05999345238095
